status_id;text
1377594274263470086;@drochir_thonnuk @eraandsihk @Katyaagolden @LacosteSomalia @ImOutOfCookies @swcrisis @jimdtweet @Yexital @Feaudamentals @earthtoimani @MartinJBern @25_cycle @RuleByLogic @PeterDClack @Tark4Real @Robert76907841 @BubbasRanch @RegimeChangeBC @NoelTurner194 @WilliamMarsWard @drolkrad_ehT @Kenneth72712993 @GoodCollie @jgorman2424 @caerbannog666 @JimFish56837379 @priscian @d_e_mol @ScienceJustWins @bobathon @KritzoVenter @ejwwest @NikolovScience @w44xc555 @AffitThro @GeraldKutney @DawnTJ90 @Kaya78229577 @RoyPentland @jch_of @WhompyWombat @sueytonius @Syzygy91977728 @MedBennett @GreyTonka @ThatguyMethod @erikfrijns @CafeLiminal Which one?
1377595069226704896;@Feaudamentals @drochir_thonnuk @eraandsihk @Katyaagolden @LacosteSomalia @ImOutOfCookies @swcrisis @jimdtweet @Yexital @earthtoimani @MartinJBern @25_cycle @RuleByLogic @PeterDClack @Tark4Real @Robert76907841 @BubbasRanch @RegimeChangeBC @NoelTurner194 @WilliamMarsWard @drolkrad_ehT @Kenneth72712993 @GoodCollie @jgorman2424 @caerbannog666 @JimFish56837379 @priscian @d_e_mol @ScienceJustWins @bobathon @KritzoVenter @ejwwest @NikolovScience @w44xc555 @AffitThro @GeraldKutney @DawnTJ90 @Kaya78229577 @RoyPentland @jch_of @WhompyWombat @sueytonius @Syzygy91977728 @MedBennett @GreyTonka @ThatguyMethod @erikfrijns @CafeLiminal Like get some ganglia before you start spewing. Why do they all do this thing of blaming you for things you never said. I swear they are landlubbers
1377590326316122116;"@drochir_thonnuk @Yexital @eraandsihk @Katyaagolden @LacosteSomalia @ImOutOfCookies @swcrisis @jimdtweet @Feaudamentals @earthtoimani @MartinJBern @25_cycle @RuleByLogic @PeterDClack @Tark4Real @Robert76907841 @BubbasRanch @RegimeChangeBC @NoelTurner194 @WilliamMarsWard @drolkrad_ehT @Kenneth72712993 @GoodCollie @jgorman2424 @caerbannog666 @JimFish56837379 @priscian @d_e_mol @ScienceJustWins @bobathon @KritzoVenter @ejwwest @NikolovScience @w44xc555 @AffitThro @GeraldKutney @DawnTJ90 @Kaya78229577 @RoyPentland @jch_of @WhompyWombat @sueytonius @Syzygy91977728 @MedBennett @GreyTonka @ThatguyMethod @erikfrijns @CafeLiminal *Do any of you speak English?

Correct 😊. You’re welcome"
1377557861774065664;"@swcrisis @jimdtweet @Yexital @eraandsihk @ImOutOfCookies @LacosteSomalia @Feaudamentals @earthtoimani @MartinJBern @25_cycle @RuleByLogic @PeterDClack @Tark4Real @Robert76907841 @BubbasRanch @RegimeChangeBC @NoelTurner194 @WilliamMarsWard @drolkrad_ehT @Kenneth72712993 @GoodCollie @jgorman2424 @caerbannog666 @JimFish56837379 @priscian @d_e_mol @ScienceJustWins @bobathon @KritzoVenter @ejwwest @NikolovScience @w44xc555 @AffitThro @GeraldKutney @DawnTJ90 @Kaya78229577 @RoyPentland @jch_of @WhompyWombat @sueytonius @Syzygy91977728 @MedBennett @thinks_about_it @GreyTonka @ThatguyMethod @erikfrijns @CafeLiminal @damagedonegr @SturmLLiouville @91996340e81d45a Wondering why you won’t give us your IG

Let’s just take this to Instagram and let’s see who wins"
1377592312168087553;"@RuleByLogic @drochir_thonnuk @Yexital @eraandsihk @Katyaagolden @LacosteSomalia @ImOutOfCookies @swcrisis @jimdtweet @Feaudamentals @earthtoimani @MartinJBern @25_cycle @PeterDClack @Tark4Real @Robert76907841 @BubbasRanch @RegimeChangeBC @NoelTurner194 @WilliamMarsWard @drolkrad_ehT @Kenneth72712993 @GoodCollie @jgorman2424 @caerbannog666 @JimFish56837379 @priscian @d_e_mol @ScienceJustWins @bobathon @KritzoVenter @ejwwest @NikolovScience @w44xc555 @AffitThro @GeraldKutney @DawnTJ90 @Kaya78229577 @RoyPentland @jch_of @WhompyWombat @sueytonius @Syzygy91977728 @MedBennett @GreyTonka @ThatguyMethod @erikfrijns @CafeLiminal The Bible says give back ten fold.

You spammed us because you couldn’t answer a question, so we are returning the favour 😇😊🥺"
1377601131120099329;@RuleByLogic @ImOutOfCookies @eraandsihk @drochir_thonnuk @Yexital @Katyaagolden @LacosteSomalia @swcrisis @jimdtweet @Feaudamentals @earthtoimani @MartinJBern @25_cycle @PeterDClack @Tark4Real @Robert76907841 @BubbasRanch @RegimeChangeBC @NoelTurner194 @WilliamMarsWard @drolkrad_ehT @Kenneth72712993 @GoodCollie @jgorman2424 @caerbannog666 @JimFish56837379 @priscian @d_e_mol @ScienceJustWins @bobathon @KritzoVenter @ejwwest @NikolovScience @w44xc555 @AffitThro @GeraldKutney @DawnTJ90 @Kaya78229577 @RoyPentland @jch_of @WhompyWombat @sueytonius @Syzygy91977728 @MedBennett @GreyTonka @ThatguyMethod @erikfrijns @CafeLiminal And here comes the boom 💥
1377471254798737409;@eraandsihk @jimdtweet @Yexital @ImOutOfCookies @LacosteSomalia @Feaudamentals @earthtoimani @MartinJBern @25_cycle @RuleByLogic @PeterDClack @Tark4Real @Robert76907841 @BubbasRanch @RegimeChangeBC @NoelTurner194 @WilliamMarsWard @drolkrad_ehT @Kenneth72712993 @GoodCollie @jgorman2424 @caerbannog666 @JimFish56837379 @priscian @d_e_mol @ScienceJustWins @bobathon @KritzoVenter @ejwwest @NikolovScience @w44xc555 @AffitThro @GeraldKutney @DawnTJ90 @Kaya78229577 @RoyPentland @jch_of @WhompyWombat @swcrisis @sueytonius @Syzygy91977728 @MedBennett @thinks_about_it @GreyTonka @ThatguyMethod @erikfrijns @CafeLiminal @damagedonegr @SturmLLiouville @91996340e81d45a They never do
1377595763988041737;"@drochir_thonnuk @eraandsihk @Katyaagolden @LacosteSomalia @ImOutOfCookies @swcrisis @jimdtweet @Yexital @Feaudamentals @earthtoimani @MartinJBern @25_cycle @RuleByLogic @PeterDClack @Tark4Real @Robert76907841 @BubbasRanch @RegimeChangeBC @NoelTurner194 @WilliamMarsWard @drolkrad_ehT @Kenneth72712993 @GoodCollie @jgorman2424 @caerbannog666 @JimFish56837379 @priscian @d_e_mol @ScienceJustWins @bobathon @KritzoVenter @ejwwest @NikolovScience @w44xc555 @AffitThro @GeraldKutney @DawnTJ90 @Kaya78229577 @RoyPentland @jch_of @WhompyWombat @sueytonius @Syzygy91977728 @MedBennett @GreyTonka @ThatguyMethod @erikfrijns @CafeLiminal What are you even talking about.

You do know there’s a difference between a letter and a word. The last word in that tweet has a beginning and an end which is made up of one letter called “a”.

Don’t you know what “a” means when put in a sentence?"
1377591811431133186;@Yexital @Feaudamentals @eraandsihk @drochir_thonnuk @Katyaagolden @LacosteSomalia @ImOutOfCookies @swcrisis @jimdtweet @earthtoimani @MartinJBern @25_cycle @RuleByLogic @PeterDClack @Tark4Real @Robert76907841 @BubbasRanch @RegimeChangeBC @NoelTurner194 @WilliamMarsWard @drolkrad_ehT @Kenneth72712993 @GoodCollie @jgorman2424 @caerbannog666 @JimFish56837379 @priscian @d_e_mol @ScienceJustWins @bobathon @KritzoVenter @ejwwest @NikolovScience @w44xc555 @AffitThro @GeraldKutney @DawnTJ90 @Kaya78229577 @RoyPentland @jch_of @WhompyWombat @sueytonius @Syzygy91977728 @MedBennett @GreyTonka @ThatguyMethod @erikfrijns @CafeLiminal They do love forests 😂😂😂😂😂😂
1377596406207279104;"@drochir_thonnuk @Yexital @eraandsihk @Katyaagolden @LacosteSomalia @ImOutOfCookies @swcrisis @jimdtweet @Feaudamentals @earthtoimani @MartinJBern @25_cycle @RuleByLogic @PeterDClack @Tark4Real @Robert76907841 @BubbasRanch @RegimeChangeBC @NoelTurner194 @WilliamMarsWard @drolkrad_ehT @Kenneth72712993 @GoodCollie @jgorman2424 @caerbannog666 @JimFish56837379 @priscian @d_e_mol @ScienceJustWins @bobathon @KritzoVenter @ejwwest @NikolovScience @w44xc555 @AffitThro @GeraldKutney @DawnTJ90 @Kaya78229577 @RoyPentland @jch_of @WhompyWombat @sueytonius @Syzygy91977728 @MedBennett @GreyTonka @ThatguyMethod @erikfrijns @CafeLiminal Wow.

That’s an obvious lie"
