status_id;text
1387778233802887169;Just in case I forgot to post when it got delivered a long while ago here's all bloodborne board game boxes and a big boy https://t.co/EI6drK4zd9
1387778172830326792;@AdamNelmes board game gook is not kind in scoring that game oh my.
1387778059386986498;@Stupacabra Similarly, that Animal Crossing board game. It's completely banal. Ferls like it's made for little kids so I feel bad crapping on it but also, little kids love Mario Party and most of those games are great fun!
1387777454186586123;Board Game Gumbo: Cape May  — Punchboard Media https://t.co/doFm4Gsy7c https://t.co/VEnevU4jHM
1387777447773491209;Played #DCComicsDeckBuildingGameForeverEvil on 2021-04-28  https://t.co/DHPc7g2uEt #bggplay
1387776744825004039;Our next Monthly Mandarin Lunch and Learn Workshop is May 7! This fun, virtual experience will focus on the oldest board game in the world: Chinese go (棋)! Will you be a modern master? https://t.co/WKnoph7oCb https://t.co/HA7oeIK0Ic
1387776534145011712;"A shot of the char select screen for our next game Flippy Board - Unlimited Kickflips. 
You can also get our first game Er'body Swing on the App Store NOW! FREE!! Hurry while stocks last!!!
https://t.co/IIp4grTiRs
#gamedev #indiedev #ios  #indieDevWorldOrder #mobilegaming https://t.co/WjjILMlVVd"
1387776378213441537;"@BruceMcCurdy @KurtLeavins @dstaples Random, but not sure I’ve enjoyed board battles and D work as much since Game 6, 2006 (give or take a newb Russian 😜)
Glad coach finally took David’s advice on DYN, Kahun with McD for lack of better options. RNH rejuvenated?
Now needs to reduce toi for Nurse &amp; others."
1387776158658400265;@LacrosseDublin @coffmanrocks @jeromeceltics @sciotoathletics @DublinOhio Agree. Open it all up. But, don't use UA as the example. Good crowd, but that's all family. UA is more restrictive than Dublin. They don't even let the JV stay after their game is complete. Also, it's not the city and mayor that will change the rules. Try the school board.
1387775732198395910;@tartanpunk @weemoxy1 think it was the Dundee game, league clincher 88. Genuinely scary. Easily 80k inside the ground. Attendance in next day's Sunday Mail via the old board: 18,237
1387775686228783111;"Backers Pledge Over $4m for Monster Hunter World: The Board Game: https://t.co/M65f8PonbL

@monsterhunter @SteamforgedLtd @CapcomEurope #gaming @kickstarter #tabletop #game #gamer #twitchaffiliate #twitchstreamer #YouTuber https://t.co/r2tWxZpATU"
